WARD,PRECINCT,REGISTERED VOTERS,BALLOTS CAST,BRANDON JOHNSON,PAUL VALLAS,ANA GUAJARDO,CHRIS TALIAFERRO,KIM WALZ,RONNIE L. MOSLEY,ANGELA CLAY,MARTINA 'TINA' HONE,JESSICA W. GUTIERREZ,PRENTICE C. BUTLER,PETER CHICO,JOE DUNNE,LAMONT ROBINSON,TIMMY KNUDSEN,"GILBERT ""GIL"" VILLEGAS",LENI MANAA-HOPPENWORTH,CREATIVE SCOTT,CORNELL DANTZLER,BRIAN C. COMER,"ANTHONY ""TONY"" CIARAVINO",NICOLE LEE,RUTH CRUZ,MEGAN MATHIAS,WILLIAM E. HALL,DESMON C. YANCY,RICHARD A WOOTEN,CB JOHNSON,"LEONOR ""LORI"" TORRES WHITT",MONIQUE L. SCOTT,"JAMES ""JIM"" GARDINER"
34,4,1032,443,161,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1774,552,275,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,1250,440,155,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7,585,218,56,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,8,1113,332,95,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9,1977,717,204,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10,853,240,74,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,1322,394,190,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12,1195,377,133,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,13,1648,454,148,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,14,1582,555,138,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15,1495,398,169,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,16,1931,572,302,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,17,1886,498,333,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,18,1783,534,280,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,19,1276,417,165,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20,1621,561,177,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,900,135,57,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,1753,412,199,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,1132,279,168,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,1413,462,321,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5,1705,655,496,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6,2350,994,758,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,1960,649,455,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8,879,408,268,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,1745,740,572,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10,1384,450,346,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11,1677,608,423,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12,2166,801,619,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,13,1563,526,373,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,14,1318,440,320,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,15,1796,609,427,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,16,2135,822,600,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,17,1644,542,314,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18,1072,341,219,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,19,1305,464,288,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20,718,294,129,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,21,1375,509,267,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,22,1595,611,260,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,895,319,71,246,,,,,,,,,,,,,267,,,,,,,,,,,,,49,,
36,2,1138,353,84,268,,,,,,,,,,,,,294,,,,,,,,,,,,,55,,
36,3,827,276,66,209,,,,,,,,,,,,,210,,,,,,,,,,,,,64,,
36,4,1126,335,123,209,,,,,,,,,,,,,244,,,,,,,,,,,,,86,,
36,5,1084,290,88,202,,,,,,,,,,,,,227,,,,,,,,,,,,,63,,
36,6,853,239,87,150,,,,,,,,,,,,,174,,,,,,,,,,,,,61,,
36,7,852,191,71,119,,,,,,,,,,,,,127,,,,,,,,,,,,,59,,
36,8,470,164,65,98,,,,,,,,,,,,,131,,,,,,,,,,,,,32,,
36,9,1795,414,182,230,,,,,,,,,,,,,310,,,,,,,,,,,,,100,,
36,10,1726,302,142,160,,,,,,,,,,,,,207,,,,,,,,,,,,,85,,
36,11,1074,180,76,103,,,,,,,,,,,,,114,,,,,,,,,,,,,62,,
36,12,771,153,72,81,,,,,,,,,,,,,110,,,,,,,,,,,,,41,,
36,13,502,93,43,49,,,,,,,,,,,,,52,,,,,,,,,,,,,38,,
36,14,1334,273,152,121,,,,,,,,,,,,,157,,,,,,,,,,,,,113,,
36,15,689,133,75,58,,,,,,,,,,,,,56,,,,,,,,,,,,,74,,
36,16,574,114,74,40,,,,,,,,,,,,,66,,,,,,,,,,,,,45,,
36,17,1166,377,260,116,,,,,,,,,,,,,106,,,,,,,,,,,,,258,,
36,18,1156,401,278,123,,,,,,,,,,,,,118,,,,,,,,,,,,,273,,
36,19,1671,583,401,181,,,,,,,,,,,,,212,,,,,,,,,,,,,353,,
36,20,1548,621,394,226,,,,,,,,,,,,,243,,,,,,,,,,,,,362,,
36,21,1008,498,205,291,,,,,,,,,,,,,285,,,,,,,,,,,,,207,,
36,22,1284,567,354,213,,,,,,,,,,,,,247,,,,,,,,,,,,,298,,
36,23,1152,529,255,273,,,,,,,,,,,,,298,,,,,,,,,,,,,213,,
36,24,1274,471,244,226,,,,,,,,,,,,,231,,,,,,,,,,,,,223,,
36,25,1438,520,258,262,,,,,,,,,,,,,293,,,,,,,,,,,,,218,,
36,26,1327,524,286,238,,,,,,,,,,,,,258,,,,,,,,,,,,,247,,
36,27,1551,579,270,309,,,,,,,,,,,,,346,,,,,,,,,,,,,218,,
37,1,1622,273,241,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,1490,256,171,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,1424,298,247,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,1229,361,298,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,1144,233,200,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6,1699,496,417,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7,1423,293,214,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8,1701,432,363,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9,839,160,132,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10,1074,284,218,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11,1274,282,248,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12,1634,396,324,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,13,1239,209,168,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,14,1553,413,341,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15,1519,407,319,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,16,1566,420,320,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,17,1137,237,203,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,18,1354,310,255,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,19,1336,242,172,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20,1785,397,337,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,21,1152,248,180,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,22,1411,334,235,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,1661,926,48,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,929,408,40,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3,1315,565,71,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,1181,463,40,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,1640,720,90,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6,1137,441,59,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7,1431,540,94,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8,1185,480,62,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9,1280,435,80,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,1190,397,47,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,11,1255,534,77,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12,1790,687,97,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,13,1039,342,62,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,14,1172,471,78,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,15,1272,384,67,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,16,1810,669,155,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,17,1337,585,150,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,18,1769,594,176,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,19,1793,616,161,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20,1595,542,151,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,21,1778,672,240,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,22,1237,429,136,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,23,1680,658,225,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,24,1639,640,173,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,25,1675,729,293,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,1022,569,112,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,670,349,82,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3,803,389,184,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4,1055,585,128,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,863,353,150,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,827,273,116,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7,701,281,116,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8,882,296,114,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,9,811,251,87,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,895,358,213,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11,764,297,102,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,12,1839,462,205,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13,1475,669,291,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,14,1624,863,114,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,15,1367,515,250,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,16,803,340,153,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,17,1684,847,154,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,18,816,350,55,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,19,1987,638,362,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,905,505,108,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,21,1858,513,269,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,22,811,328,66,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,23,119,72,17,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,24,889,418,235,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,25,1082,266,189,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,26,835,244,112,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,27,909,299,81,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,28,889,324,162,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,29,248,143,31,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,30,596,277,77,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,31,847,378,83,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,32,1558,877,224,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,33,562,325,81,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,34,672,394,71,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,35,1378,592,220,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,1136,482,248,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,1812,486,314,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3,1650,456,255,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4,1600,465,213,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,1496,404,198,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6,1607,399,229,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,7,1301,479,291,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8,1075,339,127,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9,1821,518,252,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10,1844,851,510,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,1913,630,229,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,12,1604,578,320,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13,1132,546,372,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,14,1696,807,575,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,15,1134,550,369,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,16,1119,542,377,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,17,1261,607,351,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,18,1507,662,394,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,19,1249,613,373,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20,1310,683,396,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,21,1257,617,432,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,22,1670,797,547,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,23,1569,869,567,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,1774,469,48,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,964,236,41,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3,1390,268,28,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,1032,530,27,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,924,546,69,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6,1016,546,68,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7,772,432,60,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8,870,404,66,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9,1734,839,129,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10,1432,682,95,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,941,505,114,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,721,335,20,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,13,1703,730,125,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,14,1858,835,120,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,15,1812,1081,134,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,16,630,353,37,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,17,522,267,33,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,18,1493,727,97,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,19,713,381,52,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20,763,425,67,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,21,697,424,55,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,22,651,346,43,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,23,832,471,74,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,24,1517,814,83,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,25,1196,689,85,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,26,1561,796,110,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,27,1075,626,84,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,28,1826,947,138,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,29,1668,1074,102,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,30,1470,868,69,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,31,1257,790,61,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,621,308,65,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,661,227,68,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,1763,679,182,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4,1440,643,141,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,1686,836,239,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6,673,418,79,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,1293,540,119,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8,945,324,104,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9,1658,626,113,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10,1180,427,102,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11,1438,321,169,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,1071,357,91,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,13,558,260,99,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,14,465,177,58,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15,648,189,63,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,16,1817,577,156,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,17,1928,687,175,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,18,1396,342,87,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,19,1724,552,132,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20,1690,627,100,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,21,1932,627,155,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,22,1737,605,183,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,23,1702,720,124,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,24,1742,764,132,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,1410,719,102,615,,,,,,,,,,,,350,,,,,342,,,,,,,,,,,
43,2,1938,790,170,619,,,,,,,,,,,,374,,,,,371,,,,,,,,,,,
43,3,606,310,49,260,,,,,,,,,,,,153,,,,,145,,,,,,,,,,,
43,4,1144,547,180,363,,,,,,,,,,,,268,,,,,256,,,,,,,,,,,
43,5,1680,813,268,542,,,,,,,,,,,,438,,,,,335,,,,,,,,,,,
43,6,2016,965,329,635,,,,,,,,,,,,493,,,,,424,,,,,,,,,,,
43,7,1961,847,375,471,,,,,,,,,,,,478,,,,,325,,,,,,,,,,,
43,8,1746,715,346,366,,,,,,,,,,,,391,,,,,293,,,,,,,,,,,
43,9,2134,954,358,596,,,,,,,,,,,,470,,,,,446,,,,,,,,,,,
43,10,1491,674,186,486,,,,,,,,,,,,353,,,,,301,,,,,,,,,,,
43,11,938,456,162,293,,,,,,,,,,,,243,,,,,191,,,,,,,,,,,
43,12,1877,881,234,644,,,,,,,,,,,,485,,,,,353,,,,,,,,,,,
43,13,1277,646,140,506,,,,,,,,,,,,332,,,,,306,,,,,,,,,,,
43,14,826,380,105,273,,,,,,,,,,,,175,,,,,192,,,,,,,,,,,
43,15,1721,864,261,600,,,,,,,,,,,,481,,,,,363,,,,,,,,,,,
43,16,700,329,102,226,,,,,,,,,,,,160,,,,,153,,,,,,,,,,,
43,17,1766,716,275,440,,,,,,,,,,,,328,,,,,364,,,,,,,,,,,
43,18,1985,776,306,470,,,,,,,,,,,,361,,,,,394,,,,,,,,,,,
43,19,2014,870,254,616,,,,,,,,,,,,392,,,,,452,,,,,,,,,,,
43,20,1499,754,217,537,,,,,,,,,,,,349,,,,,391,,,,,,,,,,,
43,21,764,377,116,260,,,,,,,,,,,,130,,,,,235,,,,,,,,,,,
43,22,2036,922,266,654,,,,,,,,,,,,443,,,,,454,,,,,,,,,,,
43,23,1254,675,175,497,,,,,,,,,,,,308,,,,,340,,,,,,,,,,,
44,1,1764,710,395,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,1355,585,206,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,1429,765,256,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4,1912,959,317,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,1412,638,400,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,6,1454,605,350,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,1611,674,411,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,8,1651,600,343,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9,2074,1004,427,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10,1965,902,412,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11,1647,668,304,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,1700,865,422,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,13,1824,798,459,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,14,1721,764,425,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,15,1871,866,464,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,16,1962,889,423,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,17,1997,850,452,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,18,1404,566,325,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,19,2034,864,470,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20,1125,504,286,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,21,1943,861,481,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,1802,1046,162,882,,,,,,,,,,,,,,,,,,,,,354,,,,,,,687
45,2,891,550,88,461,,,,,,,,,,,,,,,,,,,,,229,,,,,,,320
45,3,601,344,47,295,,,,,,,,,,,,,,,,,,,,,107,,,,,,,233
45,4,589,386,67,316,,,,,,,,,,,,,,,,,,,,,174,,,,,,,206
45,5,1051,558,134,422,,,,,,,,,,,,,,,,,,,,,261,,,,,,,291
45,6,1114,632,113,518,,,,,,,,,,,,,,,,,,,,,221,,,,,,,409
45,7,1236,677,146,527,,,,,,,,,,,,,,,,,,,,,165,,,,,,,509
45,8,1192,574,122,450,,,,,,,,,,,,,,,,,,,,,175,,,,,,,394
45,9,1391,570,133,432,,,,,,,,,,,,,,,,,,,,,190,,,,,,,376
45,10,1256,581,130,448,,,,,,,,,,,,,,,,,,,,,167,,,,,,,413
45,11,1586,756,151,603,,,,,,,,,,,,,,,,,,,,,230,,,,,,,522
45,12,1178,463,155,308,,,,,,,,,,,,,,,,,,,,,200,,,,,,,259
45,13,1270,721,222,497,,,,,,,,,,,,,,,,,,,,,320,,,,,,,394
45,14,1047,419,108,309,,,,,,,,,,,,,,,,,,,,,156,,,,,,,258
45,15,1162,468,183,285,,,,,,,,,,,,,,,,,,,,,243,,,,,,,220
45,16,1229,563,203,358,,,,,,,,,,,,,,,,,,,,,280,,,,,,,281
45,17,1578,676,167,508,,,,,,,,,,,,,,,,,,,,,223,,,,,,,449
45,18,1566,626,176,448,,,,,,,,,,,,,,,,,,,,,272,,,,,,,345
45,19,1138,378,116,261,,,,,,,,,,,,,,,,,,,,,189,,,,,,,183
45,20,1420,546,209,336,,,,,,,,,,,,,,,,,,,,,261,,,,,,,279
45,21,1298,442,123,318,,,,,,,,,,,,,,,,,,,,,177,,,,,,,262
45,22,1121,549,245,302,,,,,,,,,,,,,,,,,,,,,328,,,,,,,217
45,23,1350,592,224,367,,,,,,,,,,,,,,,,,,,,,334,,,,,,,252
45,24,1273,504,180,323,,,,,,,,,,,,,,,,,,,,,279,,,,,,,215
45,25,1689,696,271,422,,,,,,,,,,,,,,,,,,,,,398,,,,,,,291
45,26,1555,508,234,273,,,,,,,,,,,,,,,,,,,,,285,,,,,,,219
45,27,1306,631,273,355,,,,,,,,,,,,,,,,,,,,,388,,,,,,,234
45,28,1534,603,229,371,,,,,,,,,,,,,,,,,,,,,323,,,,,,,270
45,29,1260,526,322,201,,,,,,,,,,,,,,,,,,,,,424,,,,,,,96
46,1,1275,629,250,376,,,460,,160,,,,,,,,,,,,,,,,,,,,,,,
46,2,1250,625,335,289,,,324,,286,,,,,,,,,,,,,,,,,,,,,,,
46,3,1524,666,447,217,,,255,,392,,,,,,,,,,,,,,,,,,,,,,,
46,4,1729,777,386,385,,,427,,337,,,,,,,,,,,,,,,,,,,,,,,
46,5,1406,684,282,402,,,412,,257,,,,,,,,,,,,,,,,,,,,,,,
46,6,2090,977,575,402,,,430,,529,,,,,,,,,,,,,,,,,,,,,,,
46,7,1446,576,368,207,,,244,,320,,,,,,,,,,,,,,,,,,,,,,,
46,8,1666,689,392,295,,,327,,353,,,,,,,,,,,,,,,,,,,,,,,
46,9,1655,759,348,409,,,437,,294,,,,,,,,,,,,,,,,,,,,,,,
46,10,1377,669,459,208,,,240,,423,,,,,,,,,,,,,,,,,,,,,,,
46,11,1791,773,480,293,,,298,,458,,,,,,,,,,,,,,,,,,,,,,,
46,12,1968,915,484,430,,,459,,444,,,,,,,,,,,,,,,,,,,,,,,
46,13,1793,824,538,280,,,290,,521,,,,,,,,,,,,,,,,,,,,,,,
46,14,1198,455,320,133,,,147,,300,,,,,,,,,,,,,,,,,,,,,,,
46,15,1936,1013,469,540,,,570,,420,,,,,,,,,,,,,,,,,,,,,,,
46,16,1736,639,459,176,,,197,,432,,,,,,,,,,,,,,,,,,,,,,,
46,17,1924,947,689,252,,,282,,657,,,,,,,,,,,,,,,,,,,,,,,
46,18,1773,759,545,212,,,273,,477,,,,,,,,,,,,,,,,,,,,,,,
46,19,1565,633,443,186,,,251,,372,,,,,,,,,,,,,,,,,,,,,,,
46,20,1752,579,376,197,,,186,,384,,,,,,,,,,,,,,,,,,,,,,,
46,21,1012,444,267,176,,,211,,226,,,,,,,,,,,,,,,,,,,,,,,
46,22,1810,573,425,146,,,133,,434,,,,,,,,,,,,,,,,,,,,,,,
46,23,1365,499,362,129,,,146,,349,,,,,,,,,,,,,,,,,,,,,,,
47,1,1214,612,335,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,1182,538,366,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,1186,545,380,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,1478,717,471,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,1691,841,663,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
