PRECINCT,SHAPE_Area,SHAPE_Leng,WARD,DATA_ADMIN,WARD_PRECI,PERIMETER,OBJECTID,TIMOTHY M. CULLERTON,TOM CARAVETTE,BERNARD L. STONE,SHARON DENISE DIXON,DANIEL 'DANNY' SOLIS,LATASHA R. THOMAS,CHE 'RHYMEFEST' SMITH,MAURITA E. GAVIN,MICHELE SMITH,RAYMOND A. LOPEZ,JAMES CAPPLEMAN,HAL E. BASKIN,TIM EGAN,TONI L. FOULKES,MARY O'CONNOR,MARY ANNE 'MOLLY' PHELAN,CUAHUTEMOC MORFIN,JOHN ARENA,WILLIE B. COCHRAN,NICHOLAS SPOSATO,JOHN GARRIDO,DEBRA L. SILVERSTEIN,MICHAEL D. CHANDLER,BALLOTS CAST,REGISTERED VOTERS,DAVID H. MOORE,FREDDRENNA M. LYLE,RODERICK T. SAWYER,JOHN A. RICE,JOANN THOMPSON
39,2679709.69868,7004.16316719,2,2679711.74534,02039,7004.20074165,2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5935626.13535,13584.8802274,28,6377919.44479,28061,14915.4410485,2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3895602.96481,20172.2497329,44,1073966.9423,44003,6924.10792944,2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1023347.34874,6620.48549659,43,1023349.83214,43006,6620.49825091,2758,,,,,,,,,56,,,,84,,,,,,,,,,,140,537,,,,,
29,1193298.2333,4498.78983376,30,1193316.84597,30029,4498.82716175,2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,643255.998188,3399.93821285,43,643348.689553,43045,3399.88918348,2760,,,,,,,,,22,,,,36,,,,,,,,,,,58,270,,,,,
15,2294876.06924,6205.659059,26,2294857.48284,26015,6205.63909882,2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,923443.195108,4068.53414347,27,671947.931897,27042,3610.17894152,2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3411804.2533,10148.7881588,2,6071855.08436,02026,12667.5319049,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,978739.549113,4190.31147599,43,953745.21585,43030,4155.56218524,2764,,,,,,,,,54,,,,37,,,,,,,,,,,91,566,,,,,
28,2138860.23466,6906.71297213,27,2138860.2322,27028,6906.71297555,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,487925.159445,3473.95436691,27,512919.462108,27005,3506.91561046,2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,912763.869954,4015.72163209,42,912731.336113,42012,4015.15839567,2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1877842.40509,5729.99576811,42,1877830.87495,42018,5729.42328777,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4855566.96655,8958.90286372,27,4855578.45892,27001,8959.46044288,2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3945364.03453,10702.3543194,27,4908734.42058,27011,10532.3257529,2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13075966.7437,15974.9604435,12,13075946.288,12006,15974.9057563,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
